Name,Address,Hours,PriceRange,Cuisines,Meals,Rating
"Zingari, San Francisco","501 Post St, San Francisco, CA 94102-1228",Closed Now:See all hours,,,"brunch, dinner, breakfast, lunch, late night, drinks",3.5
"Harris' Steakhouse, San Francisco","2100 Van Ness Ave, On the corner of Pacific Avenue and Van Ness Avenue, San Francisco, CA 94109-2511",Closed Now:See all hours,,"american, steakhouse","dinner, late night",4.5
"Trattoria Contadina, San Francisco","1800 Mason St, San Francisco, CA 94133-2711",Closed Now:See all hours,,italian,"lunch, dinner, late night",4.5
"Pat's Cafe, San Francisco","2330 Taylor St, San Francisco, CA 94133-1810",Closed Now:See all hours,,"american, cafe","breakfast, lunch, brunch",4.5
"Taj Campton Place Restaurant, San Francisco","340 Stockton St, San Francisco, CA 94108-4609",Closed Now:See all hours,,,,4.5
"Bourbon and Branch, San Francisco","501 Jones St, Look for the unmarked anti saloon league door., San Francisco, CA 94102-2007",Open Now:6:00 PM - 2:00 AM,,,"late night, drinks",4.5
"Mourad, San Francisco","140 New Montgomery St, San Francisco, CA 94105-3705",Closed Now:See all hours,"['80', '150']",,"lunch, dinner",4.5
"Montesacro Pinseria, San Francisco","510 Stevenson St, San Francisco, CA 94103-1607",Closed Now:See all hours,,"italian, pizza, romana, lazio, central-italian","lunch, dinner, late night",4.5
"Leopold's, San Francisco","2400 Polk St, San Francisco, CA 94109-1603",Closed Now:See all hours,,,,4.5
"Espetus Churrascaria Brazilian Steak House, San Francisco","1686 Market St, San Francisco, CA 94102-5949",Closed Now:See all hours,"['32', '61']",,"dinner, lunch",4.5
"Yank Sing, San Francisco","101 Spear St, One Rincon Ctr, San Francisco, CA 94105-1559",Closed Now:See all hours,"['20', '30']",,"lunch, brunch",4.5
"El Nuevo Frutilandia, San Francisco","3077 24th St, San Francisco, CA 94110-4145",Closed Now:See all hours,"['10', '40']","caribbean, latin, cuban, puerto rican",,4.5
"Scoma's, San Francisco","1965 Al Scoma Way, Pier 47, San Francisco, CA 94133-1044",Closed Now:See all hours,"['31', '50']",,"lunch, dinner",4.5
"Il Casaro Pizzeria and Mozzarella Bar, San Francisco","348 Columbus Ave, San Francisco, CA 94133-3915",Closed Now:See all hours,,"italian, pizza, neapolitan, campania, southern-italian","lunch, dinner",4.5
"Bouche, San Francisco","603 Bush St, San Francisco, CA 94108-3505",Closed Now:See all hours,"['10', '40']",,"dinner, drinks, late night",4.5
"Tommaso Ristorante Italiano, San Francisco","1042 Kearny St, San Francisco, CA 94133",Closed Now:See all hours,,"italian, pizza",,4.5
"Rocco's Cafe, San Francisco","1131 Folsom St, San Francisco, CA 94103-3931",Closed Now:See all hours,"['15', '25']",,"lunch, dinner, brunch, breakfast",4.5
"Kitchen Story, San Francisco","3499 16th St, San Francisco, CA 94114-1731",Closed Now:See all hours,,"american, fusion","breakfast, lunch, dinner, brunch",4.5
"Original Joe's, San Francisco","601 Union St, San Francisco, CA 94133-2812",Closed Now:See all hours,"['10', '40']",,"lunch, dinner, brunch, late night, drinks",4.5
"House of Prime Rib, San Francisco","1906 Van Ness Ave, San Francisco, CA 94109-3008",Closed Now:See all hours,"['31', '40']","american, steakhouse",,4.5
"Tony's Pizza Napoletana, San Francisco","1570 Stockton St, San Francisco, CA 94133-3306",Closed Now:See all hours,"['20', '25']",,"lunch, dinner, late night",4.5
"Swan Oyster Depot, San Francisco","1517 Polk St, San Francisco, CA 94109-3606",Closed today:See all hours,,"american, seafood, soups",lunch,4.5
"Rambler at Hotel Zeppelin, San Francisco","545 Post St, Hotel Zeppelin, San Francisco, CA 94102",Closed Now:See all hours,,"american, bar, cafe",,4.0
"Darren's Cafe, San Francisco","2731 Taylor St, San Francisco, CA 94133-1203",Closed Now:See all hours,,"american, cafe, asian, vietnamese","breakfast, lunch, brunch",4.5
"La Taqueria, San Francisco","2889 Mission St, San Francisco, CA 94110-3907",Closed Now:See all hours,,"mexican, latin, fast food, central american",,4.5
"Good Mong Kok Bakery, San Francisco","1039 Stockton St, San Francisco, CA 94108-1109",Closed Now:See all hours,,"chinese, fast food, asian","breakfast, lunch",4.5
"Greens Restaurant, San Francisco","2 Marina Blvd, Building A, San Francisco, CA 94123-1284",Closed Now:See all hours,,,"lunch, dinner, brunch, late night",4.5
"Firenze By Night, San Francisco","1429 Stockton St, San Francisco, CA 94133-3817",Closed Now:See all hours,,italian,,4.5
